"pop.change","r.All.yrs","r.1GL","r.2GL"
-89.2624112963355,-0.101351308440536,-0.0812759372500125,-0.101351308440536
-85.7472691105046,-0.0894489735652559,-0.131731268114486,-0.0894489735652559
-85.8588825618886,-0.0651666408818281,-0.0915981205732761,-0.0651666408818281
-88.9571504174862,-0.109108397576845,-0.113555486250771,-0.109108397576845
-86.6731567415611,-0.0659138611028958,-0.0585191600111221,-0.0659138611028958
-84.9316620395851,-0.0957078797852855,-0.0912780135290561,-0.0957078797852855
-86.8984911910371,-0.0962507002357045,-0.0962507002357045,-0.0962507002357045
-86.356561161776,-0.0705122244428678,-0.0934427231286996,-0.0705122244428678
-86.5712630141868,-0.101778330528331,-0.103010271456958,-0.101778330528331
-88.3894370511517,-0.0874015130208425,-0.127237315887377,-0.0838752906890843
-87.4849782722025,-0.0728912584018193,-0.0560035268499783,-0.0728912584018193
-86.6912239105612,-0.119611453913063,-0.136806258399774,-0.119611453913063
-87.2382782216523,-0.0699820994608205,-0.0765067902698524,-0.0699820994608205
-85.6805944022918,-0.0967241532946232,-0.105626112671394,-0.0967241532946232
-87.8968661293984,-0.065693450908145,-0.0596046817895557,-0.065693450908145
-82.4888633534109,-0.0898336463334823,-0.0686982002971677,-0.0898336463334823
-86.5771438034881,-0.0683135104752717,-0.0762247927077757,-0.0683135104752717
-85.0678459177717,-0.0653800699933731,-0.0465509194982436,-0.0653800699933731
-84.6923718749841,-0.0622831402389341,-0.0622831402389341,-0.0622831402389341
-78.8246890930324,-0.102198787506935,-0.0934839491886095,-0.102198787506935
-86.5872083634883,-0.098139748578844,-0.0794654374926305,-0.0911331556139068
-86.8943465017334,-0.0480831268686011,-0.0379326971166041,-0.0379326971166041
-88.1284114881156,-0.0679243241306748,-0.107034761353706,-0.0679243241306748
-86.8128806663901,-0.0819593270070502,-0.113441125952976,-0.0819593270070502
-84.9826461699348,-0.0797127232788712,-0.0858850139449165,-0.0797127232788712
-88.1103510930817,-0.0968215907412029,-0.1109682533151,-0.0968215907412029
-88.4876267961731,-0.100256021404844,-0.0932392348616089,-0.100256021404844
-85.033118299393,-0.094347722020351,-0.100141725220913,-0.094347722020351
-86.1723858697492,-0.0914091943336413,-0.0914091943336413,-0.0914091943336413
-83.8231232212728,-0.0797535824825388,-0.0601403610635822,-0.0797535824825388
-87.6590099106411,-0.0797671972046254,-0.102092381860672,-0.0774706752257526
-87.23678099935,-0.093191556828879,-0.073872348128516,-0.093191556828879
-87.8005404280442,-0.0838805178437534,-0.106578268518293,-0.0838805178437534
-88.4426378113871,-0.0875607335407729,-0.081933958938107,-0.0875607335407729
-84.1053393678622,-0.0858414365551079,-0.0648071776471317,-0.0858414365551079
-88.5439355947983,-0.0363552804142993,-0.0430139935764968,-0.0430139935764968
-86.2808342793894,-0.0735661528980307,-0.104967756338118,-0.0735661528980307
-85.7383950538136,-0.0817975100692623,-0.117947364523199,-0.0817975100692623
-88.8664434632108,-0.122563749643481,-0.132132894186107,-0.122563749643481
-87.1877719190661,-0.049363571019259,-0.0731234823730809,-0.049363571019259
-88.7621476267887,-0.0785590681063821,-0.0942985080850338,-0.0785590681063821
-88.1647791333245,-0.0820403009252697,-0.0820403009252697,-0.0820403009252697
-87.3189071496029,-0.0845143229966752,-0.11527126435108,-0.0845143229966752
-86.1801699566721,-0.0787899003356731,-0.0787899003356731,-0.0787899003356731
